Id,Categoria de Informação,Classe maior,Sub-classe maior,Classe menor,Nomenclatura Greencloud,Nomenclatura PEDEA,Coluna atributo,Link Drive (SHP),Link Drive (KML)
44,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Aspectos Socieconômicos Costeiro e Marinho,Cartografia Social do Mar,1200_CE_pesqueiros_artesanais_2022_pto,Pontos de Pesca Artesanal (CCMA-PCM_2022),nome,https://drive.google.com/drive/folders/1X3RSeNnXYBV9DMkcItw5gqCODIezB1Zx?usp=share_link,https://drive.google.com/drive/folders/1FVoNZF5Grxm2qW0_7gt1NxN3mUOUG0fi?usp=share_link
45,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Aspectos Socieconômicos Costeiro e Marinho,Cartografia Social do Mar,1200_CE_tradicao_religiosidade_turismo_2022_lin,"Tradições, religiosidade e turismo (CCMA-PCM_2022)",nome,https://drive.google.com/drive/folders/1mzWXkxJLUVf9jo-mgVmpWclkGOkVR91A?usp=share_link,https://drive.google.com/drive/folders/1LjK0WnKyHKGp8awJf5kxDtWjnXEo86VM?usp=share_link
46,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Caracterização Geográfica,Municípios Costeiros,1200_CE_municipios_costeiros_2021_pol,Municípios Costeiros (IPECE_2021),municipio,https://drive.google.com/drive/folders/1eF_RFRiI9LBY7nE9ZKX4fndzf2FneDc6?usp=share_link,https://drive.google.com/drive/folders/1Sop3gQ1gYWAEhb9nwsAKypOHAFBxO3_F?usp=share_link
47,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Economia do Mar,Agências de viagens,1200_CE_ativ_econ_agencias_viagem_2021_pol,Renda - Agências viagens (RAIS_2021),ano_2019,https://drive.google.com/drive/folders/1ytzB4JTM5QrvrVZUvgGKTQmpwiR-yw-Y?usp=share_link,https://drive.google.com/drive/folders/1p-BeMF2mJyWUpWGZX2v41m5rnX96XyCl?usp=share_link
48,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Economia do Mar,Alojamentos,1200_CE_ativ_econ_alojamentos_2021_pol,Renda - Alojamentos (RAIS_2021),ano_2019,https://drive.google.com/drive/folders/1SUsHsddl-4cZoM6ZDlus1JxCp8TGzeqk?usp=share_link,https://drive.google.com/drive/folders/1X4Y1NW216YEIcmViNaj1G221Go6HENqN?usp=share_link
49,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Economia do Mar,Artefatos de pesca e esporte,1200_CE_ativ_econ_pesca_esporte_2021_pol,Renda - Artefatos de pesca (RAIS_2021),ano_2019,https://drive.google.com/drive/folders/1X5AaoU0kPEsEoAN0bdAfaYNBFul42WYI?usp=share_link,https://drive.google.com/drive/folders/1wxN5Oe7OH84vuKE94bWgCEKNZJEAc6ge?usp=share_link
50,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Economia do Mar,Atividades imobiliárias de imóveis próprios,1200_CE_ativ_econ_imob_proprios_2021_pol,Renda - Imóveis próprios (RAIS_2021),ano_2019,https://drive.google.com/drive/folders/17aNbwrEPfktkC0HLdEDPS4zy3qnCTFzU?usp=share_link,https://drive.google.com/drive/folders/1J0ImRkdoOJfJNyTjbyHT6kdS0L3ad81Z?usp=share_link
51,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Economia do Mar,Economia imobiliária,1200_CE_ativ_econ_imobiliarias_2021_pol,Renda - Economia imobiliária (RAIS_2021),ano_2019,https://drive.google.com/drive/folders/15c3Wawp84NfnctCwS_73LF4bIoaMMqda?usp=share_link,https://drive.google.com/drive/folders/17PdAc5eGPXs1bihaSX4ju3mJ5VKTpvVL?usp=share_link
52,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Economia do Mar,Hoteis e similares,1200_CE_ativ_econ_hoteis_similares_2021_pol,Renda - Rede hoteleira (RAIS_2021),ano_2019,https://drive.google.com/drive/folders/1e_d14LXntmoeTXX4IKO7woIpu9iMb2UM?usp=share_link,https://drive.google.com/drive/folders/1TTUky5bSbbU1gWKf_dTz36ELZFaDMX26?usp=share_link
53,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Economia do Mar,Negócios imobiliários,1200_CE_ativ_econ_compra_venda_aluguel_2021_pol,Renda - Negócios imobiliários (RAIS_2021),ano_2019,https://drive.google.com/drive/folders/1CSJORLBr1mcBaO2sHvoddspyHgGY2fkh?usp=share_link,https://drive.google.com/drive/folders/1VnQrUERb4QDj_x2i8TvVSibfBq0q6ODW?usp=share_link
54,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Economia do Mar,Operadores turísticos,1200_CE_ativ_econ_operadores_turismo_2021_pol,Renda - Operadores turistícos (RAIS_2021),ano_2019,https://drive.google.com/drive/folders/1h6aeBAMTAJUgT3KoxMVMgbGl-eQKshin?usp=share_link,https://drive.google.com/drive/folders/1zzzUXMFVp4YTz20BBZousIM7L5FO_0Ld?usp=share_link
55,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Economia do Mar,Produção do pescado,1200_CE_ativ_econ_pescado_2021_pol,Renda - produção pescado (RAIS_2021),ano_2020,https://drive.google.com/drive/folders/1ENMsnmC8NI3eP5-903_3hDvglm6Ljfxp?usp=share_link,https://drive.google.com/drive/folders/1eogI26Ec1f74FWQYepsiUTUiV1DsOfui?usp=share_link
56,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Economia do Mar,Restaurantes,1200_CE_ativ_econ_restaurantes_2021_pol,Renda - Restaurantes (RAIS_2021),ano_2019,https://drive.google.com/drive/folders/1NMGlYvui4zk8v1CnOzVD7WT6QcKk2BMM?usp=share_link,https://drive.google.com/drive/folders/1MMMotXFf0MU_jgWsfelW0KuP1Lyhq0VV?usp=share_link
57,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Economia do Mar,Serviços ambulantes de alimentação,1200_CE_ativ_econ_ambulantes_alimentacao_2021_pol,Renda - Ambulantes Alimentação (RAIS_2021),ano_2019,https://drive.google.com/drive/folders/1Cm5IRExUmLu_umN8bvwAOTm8-ddsnQzM?usp=share_link,https://drive.google.com/drive/folders/114-G4eSRb1ZZ4y6MvXIxTLXTMRDqmTHG?usp=share_link
58,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Geologia e Geomorfologia Costeira e Marinha,Batimetria,1200_CE_batimetria_2014_lin,Batimetria plataforma continental (CPRM/ANP_2014),profundida,https://drive.google.com/drive/folders/1waHJL219YzKTv-3fq8xJipXsPhGh2Kjr?usp=share_link,https://drive.google.com/drive/folders/1Q9pfAAe66t3fwd18YERRDTrN-iGVVq6K?usp=share_link
59,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Geologia e Geomorfologia Costeira e Marinha,Extração de areia,1200_CE_banco_areia_2019_pol,Bancos de areia (IBGE_2019),tipobanco,https://drive.google.com/drive/folders/1qwd5EnNtt341It1jv0cjRpCFtq38orDL?usp=share_link,https://drive.google.com/drive/folders/1xuFtyJXkeTLmkUMh9N8hsfpgy0G4twg7?usp=share_link
60,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Geologia e Geomorfologia Costeira e Marinha,Faciologia da Plataforma,1200_CE_facies_sedimentares_2021_pol,Fácies sedimentares (PGGM_2021),classes,https://drive.google.com/drive/folders/1BUMxuYJ6Nno2A3G5-RthYKxS5tfg9KC7?usp=share_link,https://drive.google.com/drive/folders/17k6w1L8yCAdw6P-I1MLljvwYGqO-ruUB?usp=share_link
61,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Geologia e Geomorfologia Costeira e Marinha,Geologia e Geofísica Marinha,1200_CE_areas_interesse_extracao_mineral_2008_pol,Áreas de interesse extração mineral (REMPLAC_2008),substancia,https://drive.google.com/drive/folders/1adLemHZnlOjd414EXDl48vWABvXxBW7B?usp=share_link,https://drive.google.com/drive/folders/1K1racH5sKpyKdOzKrDUvsO0apbc-HI7C?usp=share_link
62,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Geologia e Geomorfologia Costeira e Marinha,Geologia e Geofísica Marinha,1200_CE_estruturas_geo_oceanicas_2008_lin,Estruturas geológicas oceânicas (REMPLAC_2008),estrutura,https://drive.google.com/drive/folders/1MoI1tYH3YFxRwLe5GYg-8vV72YGQiXWd?usp=share_link,https://drive.google.com/drive/folders/1BKCKT3Ah8w_DFikS-PoW4qc1yycbTlwQ?usp=share_link
63,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Geologia e Geomorfologia Costeira e Marinha,Geologia e Geofísica Marinha,1200_CE_padroes_granulometricos_2008_pol,Padrões granulométricos (REMPLAC_2008),classes,https://drive.google.com/drive/folders/1UwGrdBr7D-nuYyLLg72OBdLZxTi0ez59?usp=share_link,https://drive.google.com/drive/folders/1VcUxImrviB4n1FU16dYl7ZxSpPfFiIi1?usp=share_link
64,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Geologia e Geomorfologia Costeira e Marinha,Geologia e Geofísica Marinha,1200_CE_padroes_sedimentares_2014_pol,Padrões sedimentares (PRONEX_2014),padrao_sed,https://drive.google.com/drive/folders/1Ujjy4VFJ5NIQfnKxmgWlnGnGHabnsEGj?usp=share_link,https://drive.google.com/drive/folders/1fO_qErtMTe0W4zgMykfSDXtDtV3EvTO1?usp=share_link
65,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Geologia e Geomorfologia Costeira e Marinha,Geologia e Geofísica Marinha,1200_CE_tipo_fundo_geologia_2021_pto,Geologia de fundo oceânico (CHM_BNDO_2021),tipo_fundo,,
66,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Geologia e Geomorfologia Costeira e Marinha,Geomorfologia Marinha,1200_CE_fisiografia_marinha_2021_pol,Fisiografia marinha (REMPLAC-LEPLAC_2021/GEBCO_2022),toponimo_2,https://drive.google.com/drive/folders/1dxnYdUOF12j8jdnfcEID7g0iL2qgideE?usp=share_link,https://drive.google.com/drive/folders/1vNx8aa3HsuWDR2GwQNFPWzNAhh0cwiqA?usp=share_link
67,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Geologia e Geomorfologia Costeira e Marinha,Litologia Costeira,1200_CE_litologia_costeira_2021_pol,Litologia Costeira (CPRM_2021),nome_unida,,
68,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Geologia e Geomorfologia Costeira e Marinha,Mineração (atual e futura),1200_CE_atividade_mineracao_2021_pol,Atividades mineração (ANM_2021),subs,https://drive.google.com/drive/folders/1Vo5G6JONQwsl4TXq1-Kr57yCRpDY0lV5?usp=share_link,https://drive.google.com/drive/folders/1FkAPUEdPSeang40gAsiIP9Quf7P9YimL?usp=share_link
69,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Geologia e Geomorfologia Costeira e Marinha,Mineração (atual e futura),1200_CE_potencial_explo_granulados_2018_pto,Exploração de granulados (PRONEX_2018),teor_caco3,https://drive.google.com/drive/folders/1hUsTUZaZ46xw961EnBlpf7yldlTBbrT0?usp=share_link,https://drive.google.com/drive/folders/1Ib3RjwOroI2RTkeyEH3Pu4iQiQQLovRq?usp=share_link
70,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,História do Ceará: Costa e Mar,Áreas de naufrágios,1200_CE_naufragios_2015_pto,Naufrágios (Atlas Naufrágios_2015),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1jEnI9sntUKeuTUZ8C9SZwpFmqsbd98-J?usp=share_link,https://drive.google.com/drive/folders/1iGERJDvClKISIK_neg6J57Gt5e5uqzST?usp=share_link
71,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,História do Ceará: Costa e Mar,Arqueologia costeira,1200_CE_sitios_cnsa_iphan_2006_pol,Sítios arqueológicos (IPHAN_2006),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1SKiKiyePKP2Tx-8nbtGDLT-fplUvvscO?usp=share_link,https://drive.google.com/drive/folders/1j_XLsBOmET0kFIoPwVyYWSWVXGZIqAZG?usp=share_link
72,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,História do Ceará: Costa e Mar,Arqueologia costeira,1200_CE_sitios_cnsa_iphan_2006_pto,Sítios arqueológicos - Pontos (IPHAN_2006),ds_classif,,
73,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Infraestrutura,Estruturas de proteção costeira - Tipologia,1200_CE_obras_protecao_costeira_2021_pto,Obras de proteção costeira (CCMA-PCM_2021),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1MpagE3xsUvBtt98q-kNln0YLgF3_8n-9?usp=share_link,https://drive.google.com/drive/folders/1RhnJ4dgIIEECeHYI0E_OnyQA79_TY_O_?usp=share_link
74,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Instrumentos Legais,Alvos das Áreas Prioritárias,1200_CE_aves_alvos_ap_2018_pol,Aves - alvos de Áreas Prioritárias (MMA_2018),just_alvo,,
75,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Instrumentos Legais,Alvos das Áreas Prioritárias,1200_CE_ecossistemas_costeiros_alvos_ap_2018_pol,Ecossistemas Costeiros - alvos (MMA_2018),nome_ecos,,
76,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Instrumentos Legais,Alvos das Áreas Prioritárias,1200_CE_ecossistemas_marinhos_alvos_ap_2018_pol,Ecossistemas Marinhos - alvos (MMA_2018),just_meta,,
77,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Instrumentos Legais,Alvos das Áreas Prioritárias,1200_CE_exercicios_priorizacao_alvos_ap_2018_pol,Exercícios de priorização - alvos (MMA_2018),just_alvo,,
